"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 00:00","2016","02","01","00:00","8.3","","7.7","","96","","","M","26","","22","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 01:00","2016","02","01","01:00","5.7","","5.0","","95","","","M","28","","24","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 02:00","2016","02","01","02:00","3.2","","2.4","","94","","","M","29","","26","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 03:00","2016","02","01","03:00","1.9","","1.1","","94","","","M","29","","24","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 04:00","2016","02","01","04:00","1.6","","0.5","","93","","","M","28","","18","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 05:00","2016","02","01","05:00","1.6","","0.2","","91","","","M","29","","13","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 06:00","2016","02","01","06:00","1.3","","-0.2","","89","","","M","29","","20","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 07:00","2016","02","01","07:00","0.8","","-0.7","","89","","","M","28","","15","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 08:00","2016","02","01","08:00","0.7","","-1.4","","86","","","M","28","","12","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 09:00","2016","02","01","09:00","0.8","","-1.2","","86","","","M","27","","12","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 10:00","2016","02","01","10:00","1.1","","-1.1","","85","","","M","27","","14","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 11:00","2016","02","01","11:00","2.2","","-1.0","","79","","","M","27","","14","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 12:00","2016","02","01","12:00","1.9","","-1.3","","79","","","M","29","","15","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 13:00","2016","02","01","13:00","3.0","","-0.7","","76","","","M","28","","13","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 14:00","2016","02","01","14:00","3.6","","-0.6","","74","","","M","28","","12","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 15:00","2016","02","01","15:00","4.1","","-1.0","","69","","","M","28","","14","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 16:00","2016","02","01","16:00","3.6","","-2.1","","67","","","M","29","","14","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 17:00","2016","02","01","17:00","3.4","","-2.4","","66","","","M","26","","9","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 18:00","2016","02","01","18:00","1.8","","-2.3","","74","","","M","30","","6","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 19:00","2016","02","01","19:00","1.0","","-1.4","","84","","","M","30","","6","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 20:00","2016","02","01","20:00","1.4","","-0.9","","84","","","M","29","","8","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 21:00","2016","02","01","21:00","1.4","","-0.8","","85","","","M","28","","9","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 22:00","2016","02","01","22:00","0.7","","-1.3","","87","","","M","28","","7","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-01 23:00","2016","02","01","23:00","0.5","","-1.3","","88","","","M","31","","12","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 00:00","2016","02","02","00:00","-0.3","","-1.9","","89","","","M","28","","5","","","","","M","","","-2","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 01:00","2016","02","02","01:00","-2.6","","-3.6","","93","","","M","25","","3","","","","","M","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 02:00","2016","02","02","02:00","-3.1","","-3.5","","97","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 03:00","2016","02","02","03:00","-4.4","","-4.6","","98","","","M","36","","3","","","","","M","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 04:00","2016","02","02","04:00","-4.8","","-5.0","","98","","","M","35","","1","","","","","M","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 05:00","2016","02","02","05:00","-4.9","","-5.2","","98","","","M","16","","2","","","","","M","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 06:00","2016","02","02","06:00","-5.1","","-5.4","","98","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 07:00","2016","02","02","07:00","-4.6","","-4.9","","98","","","M","8","","2","","","","","M","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 08:00","2016","02","02","08:00","-3.4","","-3.7","","98","","","M","13","","2","","","","","M","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 09:00","2016","02","02","09:00","-2.1","","-2.3","","98","","","M","0","","1","","","","","M","","","-2","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 10:00","2016","02","02","10:00","-0.9","","-1.8","","94","","","M","10","","4","","","","","M","","","-2","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 11:00","2016","02","02","11:00","0.0","","-3.1","","79","","","M","7","","7","","","","","M","","","-2","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 12:00","2016","02","02","12:00","0.7","","-2.7","","78","","","M","12","","9","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 13:00","2016","02","02","13:00","0.8","","-2.5","","78","","","M","11","","8","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 14:00","2016","02","02","14:00","1.1","","-2.8","","76","","","M","12","","12","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 15:00","2016","02","02","15:00","0.8","","-3.2","","75","","","M","12","","13","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 16:00","2016","02","02","16:00","0.2","","-2.7","","81","","","M","10","","17","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 17:00","2016","02","02","17:00","-0.2","","-2.9","","82","","","M","9","","19","","","","","M","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 18:00","2016","02","02","18:00","-0.9","","-3.2","","85","","","M","9","","20","","","","","M","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 19:00","2016","02","02","19:00","-0.7","","-2.8","","85","","","M","10","","29","","","","","M","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 20:00","2016","02","02","20:00","-0.2","","-1.7","","90","","","M","10","","23","","","","","M","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2016-02-02 21:00","2016","02","02","21:00","0.0","","-0.8","","95","","","M","9","","26","","","","","M","","","-6","","NA"
