"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 00:00","2018","05","01","00:00","2.5","","-0.4","","81","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 01:00","2018","05","01","01:00","1.9","","-1.0","","81","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 02:00","2018","05","01","02:00","1.2","","-1.3","","84","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 03:00","2018","05","01","03:00","1.8","","-0.6","","84","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 04:00","2018","05","01","04:00","2.2","","-0.3","","83","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 05:00","2018","05","01","05:00","2.8","","0.7","","86","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 06:00","2018","05","01","06:00","4.3","","2.2","","86","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 07:00","2018","05","01","07:00","7.7","","2.7","","71","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 08:00","2018","05","01","08:00","11.7","","3.5","","57","","","M","24","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 09:00","2018","05","01","09:00","16.8","","0.8","","34","","","M","7","","12","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 10:00","2018","05","01","10:00","20.2","","1.7","","29","","","M","7","","13","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2018-05-01 11:00","2018","05","01","11:00","23.3","","3.5","","27","","","M","7","","14","","","","","M","","","","","NA"
