"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 00:00","2015","03","01","00:00","-17.8","","-19.6","","86","","","M","8","","4","","","","","M","","","-21","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 01:00","2015","03","01","01:00","-18.0","","-19.7","","86","","","M","0","","1","","","","","M","","","-19","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 02:00","2015","03","01","02:00","-16.5","","-18.2","","87","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 03:00","2015","03","01","03:00","-15.7","","-17.6","","85","","","M","7","","5","","","","","M","","","-19","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 04:00","2015","03","01","04:00","-14.5","","-16.6","","84","","","M","7","","3","","","","","M","","","-17","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 05:00","2015","03","01","05:00","-14.1","","-16.3","","83","","","M","0","","1","","","","","M","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 06:00","2015","03","01","06:00","-13.2","","-15.5","","83","","","M","15","","5","","","","","M","","","-17","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 07:00","2015","03","01","07:00","-12.6","","-14.5","","86","","","M","1","","2","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 08:00","2015","03","01","08:00","-12.0","","-13.8","","86","","","M","8","","2","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 09:00","2015","03","01","09:00","-10.7","","-12.9","","84","","","M","8","","2","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 10:00","2015","03","01","10:00","-8.1","","-12.0","","74","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 11:00","2015","03","01","11:00","-7.2","","-10.6","","76","","","M","23","","6","","","","","M","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 12:00","2015","03","01","12:00","-5.5","","-10.1","","70","","","M","25","","11","","","","","M","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 13:00","2015","03","01","13:00","-4.7","","-9.4","","70","","","M","24","","8","","","","","M","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 14:00","2015","03","01","14:00","-4.9","","-9.3","","71","","","M","26","","12","","","","","M","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 15:00","2015","03","01","15:00","-4.9","","-9.0","","72","","","M","27","","9","","","","","M","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 16:00","2015","03","01","16:00","-5.1","","-9.1","","73","","","M","26","","10","","","","","M","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 17:00","2015","03","01","17:00","-5.6","","-9.0","","77","","","M","27","","7","","","","","M","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 18:00","2015","03","01","18:00","-6.0","","-8.8","","81","","","M","28","","10","","","","","M","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 19:00","2015","03","01","19:00","-6.5","","-9.1","","82","","","M","28","","10","","","","","M","","","-11","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 20:00","2015","03","01","20:00","-7.3","","-9.8","","83","","","M","28","","11","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 21:00","2015","03","01","21:00","-8.3","","-10.4","","85","","","M","29","","8","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 22:00","2015","03","01","22:00","-9.2","","-11.1","","86","","","M","28","","8","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-01 23:00","2015","03","01","23:00","-10.2","","-11.7","","89","","","M","25","","5","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 00:00","2015","03","02","00:00","-9.3","","-10.6","","91","","","M","25","","8","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 01:00","2015","03","02","01:00","-9.2","","-10.4","","91","","","M","24","","8","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 02:00","2015","03","02","02:00","-8.7","","-9.9","","91","","","M","26","","8","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 03:00","2015","03","02","03:00","-8.0","","-9.4","","90","","","M","26","","13","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 04:00","2015","03","02","04:00","-8.6","","-10.0","","90","","","M","27","","13","","","","","M","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 05:00","2015","03","02","05:00","-8.1","","-9.5","","90","","","M","27","","11","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 06:00","2015","03","02","06:00","-7.8","","-9.3","","89","","","M","27","","15","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 07:00","2015","03","02","07:00","-7.1","","-8.9","","87","","","M","28","","18","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 08:00","2015","03","02","08:00","-6.8","","-10.2","","77","","","M","29","","21","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 09:00","2015","03","02","09:00","-6.6","","-10.7","","72","","","M","29","","24","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 10:00","2015","03","02","10:00","-6.3","","-10.3","","73","","","M","29","","22","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 11:00","2015","03","02","11:00","-6.3","","-10.7","","71","","","M","30","","26","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 12:00","2015","03","02","12:00","-6.8","","-10.1","","77","","","M","30","","34","","","","","M","","","-16","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 13:00","2015","03","02","13:00","-6.5","","-9.4","","80","","","M","31","","27","","","","","M","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 14:00","2015","03","02","14:00","-5.4","","-12.0","","60","","","M","29","","24","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 15:00","2015","03","02","15:00","-5.8","","-13.3","","55","","","M","29","","24","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 16:00","2015","03","02","16:00","-5.8","","-12.0","","61","","","M","29","","20","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 17:00","2015","03","02","17:00","-6.7","","-12.3","","64","","","M","30","","22","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 18:00","2015","03","02","18:00","-7.2","","-12.9","","64","","","M","29","","16","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 19:00","2015","03","02","19:00","-8.4","","-13.7","","65","","","M","28","","7","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 20:00","2015","03","02","20:00","-11.3","","-15.5","","71","","","M","24","","5","","","","","M","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 21:00","2015","03","02","21:00","-12.6","","-15.8","","77","","","M","23","","4","","","","","M","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 22:00","2015","03","02","22:00","-16.5","","-18.4","","85","","","M","24","","3","","","","","M","","","-19","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-02 23:00","2015","03","02","23:00","-18.4","","-20.0","","87","","","M","16","","1","","","","","M","","","-19","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 00:00","2015","03","03","00:00","-18.8","","-20.6","","86","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 01:00","2015","03","03","01:00","-18.9","","-20.6","","86","","","M","7","","3","","","","","M","","","-21","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 02:00","2015","03","03","02:00","-20.1","","-22.0","","85","","","M","9","","3","","","","","M","","","-23","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 03:00","2015","03","03","03:00","-21.0","","-23.1","","83","","","M","8","","3","","","","","M","","","-24","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 04:00","2015","03","03","04:00","-18.5","","-20.3","","86","","","M","7","","5","","","","","M","","","-23","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 05:00","2015","03","03","05:00","-17.7","","-19.3","","87","","","M","7","","2","","","","","M","","","-19","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 06:00","2015","03","03","06:00","-16.7","","-18.2","","88","","","M","9","","3","","","","","M","","","-19","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 07:00","2015","03","03","07:00","-12.8","","-14.0","","91","","","M","17","","4","","","","","M","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 08:00","2015","03","03","08:00","-9.3","","-10.2","","93","","","M","17","","7","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 09:00","2015","03","03","09:00","-8.5","","-10.0","","89","","","M","16","","6","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 10:00","2015","03","03","10:00","-8.1","","-10.8","","81","","","M","16","","9","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 11:00","2015","03","03","11:00","-8.0","","-9.4","","90","","","M","15","","8","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 12:00","2015","03","03","12:00","-7.8","","-9.0","","91","","","M","13","","10","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 13:00","2015","03","03","13:00","-7.2","","-8.4","","91","","","M","13","","11","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 14:00","2015","03","03","14:00","-7.1","","-8.3","","91","","","M","13","","15","","","","","M","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 15:00","2015","03","03","15:00","-6.8","","-7.9","","92","","","M","12","","12","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 16:00","2015","03","03","16:00","-6.8","","-7.6","","94","","","M","12","","13","","","","","M","","","-12","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 17:00","2015","03","03","17:00","-5.5","","-6.1","","96","","","M","14","","10","","","","","M","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 18:00","2015","03","03","18:00","-4.9","","-5.3","","97","","","M","15","","7","","","","","M","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 19:00","2015","03","03","19:00","-4.0","","-4.3","","98","","","M","20","","9","","","","","M","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 20:00","2015","03","03","20:00","-1.5","","-1.8","","98","","","M","24","","14","","","","","M","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 21:00","2015","03","03","21:00","-0.3","","-1.0","","95","","","M","26","","26","","","","","M","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 22:00","2015","03","03","22:00","-0.5","","-2.1","","89","","","M","27","","27","","","","","M","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2015-03-03 23:00","2015","03","03","23:00","-0.7","","-2.5","","87","","","M","28","","20","","","","","M","","","-6","","NA"
