"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 00:00","2019","12","01","00:00","-2.8","","-5.1","","84","","","","8","","19","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 01:00","2019","12","01","01:00","-2.3","","-4.8","","83","","","","9","","23","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 02:00","2019","12","01","02:00","-2.3","","-4.8","","83","","","","9","","23","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 03:00","2019","12","01","03:00","-2.5","","-4.4","","87","","","","9","","23","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 04:00","2019","12","01","04:00","-2.7","","-4.2","","89","","","","9","","24","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 05:00","2019","12","01","05:00","-2.5","","-4.2","","88","","","","9","","29","","","","","","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 06:00","2019","12","01","06:00","-2.5","","-4.4","","87","","","","9","","26","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 07:00","2019","12","01","07:00","-2.6","","-4.5","","87","","","","9","","32","","","","","","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 08:00","2019","12","01","08:00","-2.2","","-4.7","","83","","","","10","","26","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 09:00","2019","12","01","09:00","-2.3","","-3.6","","91","","","","9","","30","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 10:00","2019","12","01","10:00","-1.9","","-3.0","","92","","","","10","","33","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 11:00","2019","12","01","11:00","-1.1","","-2.0","","94","","","","10","","27","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 12:00","2019","12","01","12:00","-0.9","","-1.8","","94","","","","10","","26","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 13:00","2019","12","01","13:00","-1.0","","-1.5","","96","","","","9","","27","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 14:00","2019","12","01","14:00","-0.6","","-1.0","","98","","","","10","","21","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 15:00","2019","12","01","15:00","-0.6","","-1.0","","98","","","","10","","26","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 16:00","2019","12","01","16:00","-0.2","","-0.5","","97","","","","9","","16","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 17:00","2019","12","01","17:00","-1.4","","-1.8","","97","","","","7","","15","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 18:00","2019","12","01","18:00","-2.6","","-3.0","","97","","","","7","","12","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 19:00","2019","12","01","19:00","-2.7","","-3.2","","97","","","","6","","13","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 20:00","2019","12","01","20:00","-3.0","","-3.5","","96","","","","7","","14","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 21:00","2019","12","01","21:00","-3.3","","-3.8","","96","","","","5","","11","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 22:00","2019","12","01","22:00","-3.4","","-4.1","","95","","","","6","","13","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-01 23:00","2019","12","01","23:00","-3.3","","-4.1","","94","","","","6","","12","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 00:00","2019","12","02","00:00","-3.6","","-4.5","","94","","","","6","","11","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 01:00","2019","12","02","01:00","-4.0","","-4.7","","95","","","","5","","10","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 02:00","2019","12","02","02:00","-3.9","","-4.7","","94","","","","5","","12","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 03:00","2019","12","02","03:00","-3.9","","-4.8","","94","","","","5","","11","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 04:00","2019","12","02","04:00","-4.0","","-4.9","","93","","","","5","","12","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 05:00","2019","12","02","05:00","-4.7","","-5.4","","95","","","","3","","11","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 06:00","2019","12","02","06:00","-4.9","","-5.6","","95","","","","4","","8","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 07:00","2019","12","02","07:00","-4.7","","-5.4","","95","","","","3","","8","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 08:00","2019","12","02","08:00","-4.3","","-4.9","","95","","","","4","","8","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 09:00","2019","12","02","09:00","-3.5","","-4.2","","95","","","","3","","9","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 10:00","2019","12","02","10:00","-3.1","","-3.9","","94","","","","5","","10","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 11:00","2019","12","02","11:00","-3.0","","-3.9","","94","","","","3","","10","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 12:00","2019","12","02","12:00","-2.5","","-3.8","","91","","","","2","","11","","","","","","","","-7","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 13:00","2019","12","02","13:00","-2.1","","-3.6","","89","","","","3","","12","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 14:00","2019","12","02","14:00","-1.6","","-3.5","","87","","","","2","","10","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 15:00","2019","12","02","15:00","-1.6","","-3.3","","88","","","","1","","10","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 16:00","2019","12","02","16:00","-2.0","","-3.9","","87","","","","1","","11","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 17:00","2019","12","02","17:00","-2.4","","-4.1","","88","","","","2","","8","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 18:00","2019","12","02","18:00","-2.3","","-4.5","","85","","","","2","","5","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 19:00","2019","12","02","19:00","-2.4","","-4.7","","84","","","","36","","10","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 20:00","2019","12","02","20:00","-3.1","","-5.4","","84","","","","36","","8","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 21:00","2019","12","02","21:00","-3.8","","-6.1","","84","","","","34","","5","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 22:00","2019","12","02","22:00","-7.0","","-8.3","","90","","","","35","","1","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-02 23:00","2019","12","02","23:00","-9.3","","-10.4","","91","","","","0","","1","","","","","","","","-10","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 00:00","2019","12","03","00:00","-10.3","","-11.1","","94","","","","30","","1","","","","","","","","-11","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 01:00","2019","12","03","01:00","-11.2","","-12.1","","93","","","","27","","3","","","","","","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 02:00","2019","12","03","02:00","-12.0","","-12.8","","93","","","","29","","4","","","","","","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 03:00","2019","12","03","03:00","-12.6","","-13.6","","92","","","","25","","2","","","","","","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 04:00","2019","12","03","04:00","-10.0","","-10.7","","95","","","","0","","1","","","","","","","","-11","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 05:00","2019","12","03","05:00","-11.7","","-12.6","","93","","","","26","","4","","","","","","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 06:00","2019","12","03","06:00","-12.2","","-13.2","","93","","","","29","","4","","","","","","","","-15","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 07:00","2019","12","03","07:00","-12.2","","-13.1","","93","","","","0","","1","","","","","","","","-13","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 08:00","2019","12","03","08:00","-12.6","","-13.6","","92","","","","28","","2","","","","","","","","-14","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 09:00","2019","12","03","09:00","-7.3","","-8.0","","94","","","","28","","4","","","","","","","","-9","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 10:00","2019","12","03","10:00","-3.6","","-5.4","","87","","","","28","","10","","","","","","","","-8","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 11:00","2019","12","03","11:00","-1.3","","-3.9","","82","","","","28","","9","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 12:00","2019","12","03","12:00","-0.5","","-3.3","","81","","","","24","","7","","","","","","","","-3","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 13:00","2019","12","03","13:00","-0.7","","-3.3","","82","","","","24","","11","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 14:00","2019","12","03","14:00","-1.1","","-3.7","","83","","","","24","","9","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 15:00","2019","12","03","15:00","-1.6","","-3.3","","88","","","","26","","13","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 16:00","2019","12","03","16:00","-2.1","","-3.2","","92","","","","25","","10","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 17:00","2019","12","03","17:00","-2.0","","-3.4","","91","","","","24","","11","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 18:00","2019","12","03","18:00","-2.3","","-3.1","","94","","","","23","","9","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 19:00","2019","12","03","19:00","-2.1","","-2.7","","95","","","","23","","7","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 20:00","2019","12","03","20:00","-1.6","","-2.3","","95","","","","24","","7","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 21:00","2019","12","03","21:00","-1.0","","-1.8","","94","","","","24","","18","","","","","","","","-6","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 22:00","2019","12","03","22:00","-1.1","","-3.2","","85","","","","24","","12","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-03 23:00","2019","12","03","23:00","-1.1","","-2.8","","88","","","","22","","10","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 00:00","2019","12","04","00:00","-1.3","","-2.2","","93","","","","22","","10","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 01:00","2019","12","04","01:00","-1.3","","-2.1","","94","","","","22","","10","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 02:00","2019","12","04","02:00","-1.1","","-1.7","","96","","","","22","","10","","","","","","","","-5","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 03:00","2019","12","04","03:00","-1.0","","-1.4","","97","","","","23","","9","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 04:00","2019","12","04","04:00","-0.6","","-1.2","","96","","","","22","","10","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 05:00","2019","12","04","05:00","-0.4","","-1.2","","95","","","","23","","10","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 06:00","2019","12","04","06:00","-0.3","","-1.2","","94","","","","23","","11","","","","","","","","-4","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 07:00","2019","12","04","07:00","0.0","","-0.9","","94","","","","24","","8","","","","","","","","-3","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 08:00","2019","12","04","08:00","0.2","","-0.7","","94","","","","24","","9","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 09:00","2019","12","04","09:00","0.4","","-0.5","","93","","","","24","","7","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 10:00","2019","12","04","10:00","0.8","","-0.5","","91","","0.0","","24","","12","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 11:00","2019","12","04","11:00","1.5","","-1.2","","82","","1.2","","26","","15","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 12:00","2019","12","04","12:00","1.6","","-1.7","","79","","1.0","","26","","17","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 13:00","2019","12","04","13:00","1.5","","-2.0","","78","","1.6","","26","","16","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 14:00","2019","12","04","14:00","1.0","","-1.9","","81","","1.4","","27","","19","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 15:00","2019","12","04","15:00","0.7","","-1.3","","87","","0.6","","26","","16","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 16:00","2019","12","04","16:00","0.8","","-0.9","","88","","0.2","","27","","16","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 17:00","2019","12","04","17:00","0.5","","-0.6","","92","","","","26","","12","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 18:00","2019","12","04","18:00","0.5","","-0.7","","92","","0.2","","28","","15","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 19:00","2019","12","04","19:00","0.4","","-0.9","","91","","","","29","","14","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 20:00","2019","12","04","20:00","0.4","","-1.4","","87","","","","28","","14","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-12-04 21:00","2019","12","04","21:00","0.0","","-2.0","","86","","","","29","","16","","","","","","","","-5","","NA"
