"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 00:00","2019","05","01","00:00","4.8","","3.3","","90","","0.4","","9","","16","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 01:00","2019","05","01","01:00","5.0","","3.0","","87","","0.2","","9","","16","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 02:00","2019","05","01","02:00","4.7","","3.1","","90","","0.6","","8","","13","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 03:00","2019","05","01","03:00","4.4","","2.6","","88","","0.8","","10","","18","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 04:00","2019","05","01","04:00","3.9","","2.8","","93","","2.0","","9","","20","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 05:00","2019","05","01","05:00","3.7","","2.8","","94","","1.0","","9","","20","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 06:00","2019","05","01","06:00","3.5","","2.9","","96","","1.4","","9","","22","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 07:00","2019","05","01","07:00","4.1","","3.6","","97","","0.6","","9","","24","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 08:00","2019","05","01","08:00","4.4","","3.9","","97","","0.2","","9","","26","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 09:00","2019","05","01","09:00","4.7","","4.2","","97","","0.0","","9","","21","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 10:00","2019","05","01","10:00","5.7","","5.2","","96","","0.0","","9","","23","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 11:00","2019","05","01","11:00","5.8","","5.3","","96","","0.0","","9","","21","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 12:00","2019","05","01","12:00","5.8","","5.4","","97","","0.0","","9","","21","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 13:00","2019","05","01","13:00","6.6","","6.2","","97","","0.0","","9","","19","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 14:00","2019","05","01","14:00","6.4","","5.9","","97","","0.0","","9","","14","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 15:00","2019","05","01","15:00","7.1","","6.8","","98","","0.0","","9","","8","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 16:00","2019","05","01","16:00","6.5","","6.2","","98","","4.2","","10","","9","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 17:00","2019","05","01","17:00","7.3","","7.1","","98","","1.8","","14","","9","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 18:00","2019","05","01","18:00","8.0","","7.8","","98","","0.2","","13","","6","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 19:00","2019","05","01","19:00","8.3","","8.0","","98","","0.0","","14","","4","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 20:00","2019","05","01","20:00","8.3","","8.0","","98","","0.0","","28","","5","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 21:00","2019","05","01","21:00","8.6","","8.4","","99","","0.0","","12","","2","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 22:00","2019","05","01","22:00","8.6","","8.4","","99","","0.2","","23","","3","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-01 23:00","2019","05","01","23:00","9.5","","9.3","","99","","0.0","","25","","7","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 00:00","2019","05","02","00:00","9.7","","9.6","","99","","0.0","","25","","10","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 01:00","2019","05","02","01:00","9.6","","9.4","","99","","0.0","","25","","11","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 02:00","2019","05","02","02:00","9.0","","8.3","","95","","0.0","","28","","9","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 03:00","2019","05","02","03:00","8.1","","7.4","","95","","0.0","","29","","8","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 04:00","2019","05","02","04:00","7.1","","6.3","","95","","0.0","","31","","7","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 05:00","2019","05","02","05:00","6.1","","5.4","","95","","0.0","","34","","8","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 06:00","2019","05","02","06:00","5.6","","5.0","","96","","0.0","","31","","6","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 07:00","2019","05","02","07:00","5.8","","5.3","","97","","0.0","","4","","5","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 08:00","2019","05","02","08:00","6.4","","5.8","","96","","0.0","","3","","5","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 09:00","2019","05","02","09:00","7.3","","6.4","","94","","0.0","","8","","3","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 10:00","2019","05","02","10:00","8.6","","7.0","","90","","0.0","","12","","5","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 11:00","2019","05","02","11:00","9.8","","7.5","","86","","0.0","","16","","6","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 12:00","2019","05","02","12:00","9.6","","7.9","","89","","0.0","","17","","10","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 13:00","2019","05","02","13:00","10.5","","8.5","","87","","0.0","","14","","12","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 14:00","2019","05","02","14:00","12.7","","10.0","","84","","0.0","","15","","7","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 15:00","2019","05","02","15:00","14.4","","10.3","","76","","0.0","","20","","7","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 16:00","2019","05","02","16:00","15.6","","11.2","","75","","0.2","","14","","8","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 17:00","2019","05","02","17:00","13.6","","9.4","","76","","0.0","","13","","12","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 18:00","2019","05","02","18:00","11.3","","8.1","","81","","0.0","","11","","10","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 19:00","2019","05","02","19:00","9.0","","6.7","","86","","0.0","","13","","10","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 20:00","2019","05","02","20:00","7.1","","5.7","","91","","0.0","","10","","9","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 21:00","2019","05","02","21:00","5.8","","5.1","","95","","0.0","","8","","11","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 22:00","2019","05","02","22:00","5.3","","4.9","","97","","0.0","","9","","11","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-02 23:00","2019","05","02","23:00","5.2","","4.8","","97","","0.0","","8","","14","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-03 00:00","2019","05","03","00:00","5.3","","4.9","","98","","0.6","","10","","8","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-03 01:00","2019","05","03","01:00","5.4","","5.0","","98","","0.6","","9","","11","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-03 02:00","2019","05","03","02:00","5.5","","5.1","","98","","2.2","","8","","13","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2019-05-03 03:00","2019","05","03","03:00","5.7","","5.4","","98","","0.8","","10","","8","","","","","","","","","","NA"
