"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 00:00","2017","08","01","00:00","16.8","","16.1","","96","","","M","15","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 01:00","2017","08","01","01:00","15.7","","15.2","","97","","","M","16","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 02:00","2017","08","01","02:00","15.3","","14.9","","98","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 03:00","2017","08","01","03:00","14.1","","13.8","","98","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 04:00","2017","08","01","04:00","14.4","","14.2","","98","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 05:00","2017","08","01","05:00","13.6","","13.4","","99","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 06:00","2017","08","01","06:00","13.9","","13.8","","99","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 07:00","2017","08","01","07:00","18.3","","17.9","","97","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 08:00","2017","08","01","08:00","22.6","","18.7","","79","","","M","12","","1","","","","","M","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 09:00","2017","08","01","09:00","24.2","","17.5","","66","","","M","24","","7","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 10:00","2017","08","01","10:00","25.9","","17.0","","58","","","M","26","","9","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 11:00","2017","08","01","11:00","27.3","","16.9","","53","","","M","28","","9","","","","","M","33","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 12:00","2017","08","01","12:00","28.7","","17.1","","50","","","M","25","","9","","","","","M","34","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 13:00","2017","08","01","13:00","24.3","","17.0","","64","","","M","29","","10","","","","","M","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 14:00","2017","08","01","14:00","23.5","","17.0","","67","","","M","16","","8","","","","","M","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 15:00","2017","08","01","15:00","25.9","","18.3","","63","","","M","14","","4","","","","","M","32","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 16:00","2017","08","01","16:00","25.1","","18.1","","65","","","M","16","","10","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 17:00","2017","08","01","17:00","25.6","","18.2","","64","","","M","16","","9","","","","","M","32","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 18:00","2017","08","01","18:00","24.7","","18.2","","67","","","M","6","","10","","","","","M","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 19:00","2017","08","01","19:00","19.8","","17.9","","89","","","M","29","","7","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 20:00","2017","08","01","20:00","18.6","","17.4","","92","","","M","11","","3","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 21:00","2017","08","01","21:00","18.3","","17.6","","95","","","M","11","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 22:00","2017","08","01","22:00","18.1","","17.6","","97","","","M","17","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-01 23:00","2017","08","01","23:00","17.5","","17.1","","97","","","M","15","","2","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-02 00:00","2017","08","02","00:00","16.1","","15.7","","98","","","M","0","","1","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-02 01:00","2017","08","02","01:00","15.2","","14.9","","98","","","M","","","0","","","","","M","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2017-08-02 02:00","2017","08","02","02:00","15.0","","14.8","","99","","","M","7","","2","","","","","M","","","","","NA"
