"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 00:00","2020","09","01","00:00","18.0","","16.7","","92","","0.0","","18","","7","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 01:00","2020","09","01","01:00","17.7","","16.7","","94","","0.0","","19","","4","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 02:00","2020","09","01","02:00","17.7","","16.6","","93","","0.0","","17","","6","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 03:00","2020","09","01","03:00","17.9","","17.1","","95","","0.0","","18","","6","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 04:00","2020","09","01","04:00","18.5","","17.5","","94","","0.0","","20","","4","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 05:00","2020","09","01","05:00","18.6","","17.7","","94","","0.0","","19","","5","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 06:00","2020","09","01","06:00","18.7","","17.8","","95","","0.0","","16","","2","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 07:00","2020","09","01","07:00","19.0","","18.1","","94","","0.0","","14","","4","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 08:00","2020","09","01","08:00","19.4","","18.3","","93","","0.0","","17","","8","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 09:00","2020","09","01","09:00","21.1","","18.3","","84","","0.0","","17","","9","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 10:00","2020","09","01","10:00","23.2","","18.2","","73","","0.0","","20","","10","","","","","","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 11:00","2020","09","01","11:00","24.1","","17.1","","65","","0.0","","19","","11","","","","","","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 12:00","2020","09","01","12:00","25.7","","16.9","","58","","0.0","","19","","9","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 13:00","2020","09","01","13:00","26.6","","16.2","","53","","0.0","","20","","11","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 14:00","2020","09","01","14:00","27.5","","15.0","","46","","0.0","","19","","12","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 15:00","2020","09","01","15:00","26.0","","16.1","","55","","0.0","","19","","9","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 16:00","2020","09","01","16:00","25.7","","16.8","","58","","0.0","","17","","14","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 17:00","2020","09","01","17:00","25.3","","17.2","","61","","0.0","","18","","11","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 18:00","2020","09","01","18:00","24.3","","17.6","","66","","0.0","","17","","9","","","","","","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 19:00","2020","09","01","19:00","23.1","","17.4","","71","","0.0","","18","","8","","","","","","29","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 20:00","2020","09","01","20:00","22.1","","17.2","","73","","0.0","","17","","6","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 21:00","2020","09","01","21:00","21.7","","17.7","","78","","0.0","","17","","8","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 22:00","2020","09","01","22:00","21.2","","17.8","","81","","0.0","","17","","7","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-01 23:00","2020","09","01","23:00","21.2","","18.6","","85","","0.0","","17","","9","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 00:00","2020","09","02","00:00","20.5","","18.7","","89","","7.8","","22","","36","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 01:00","2020","09","02","01:00","19.6","","18.2","","92","","0.6","","18","","4","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 02:00","2020","09","02","02:00","19.3","","18.3","","94","","0.0","","16","","1","","","","","","","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 03:00","2020","09","02","03:00","20.6","","19.7","","94","","0.0","","18","","6","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 04:00","2020","09","02","04:00","20.7","","19.7","","94","","0.0","","18","","9","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 05:00","2020","09","02","05:00","20.6","","19.6","","94","","0.0","","19","","7","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 06:00","2020","09","02","06:00","20.7","","19.7","","94","","0.0","","19","","7","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 07:00","2020","09","02","07:00","20.9","","19.9","","94","","0.0","","19","","9","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 08:00","2020","09","02","08:00","20.3","","18.6","","90","","1.4","","21","","15","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 09:00","2020","09","02","09:00","20.0","","18.8","","93","","2.2","","25","","5","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 10:00","2020","09","02","10:00","20.8","","19.6","","93","","0.0","","21","","8","","","","","","28","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 11:00","2020","09","02","11:00","22.3","","20.5","","89","","0.2","","23","","12","","","","","","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 12:00","2020","09","02","12:00","24.1","","19.8","","77","","0.0","","25","","13","","","","","","32","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 13:00","2020","09","02","13:00","24.6","","18.5","","69","","0.0","","27","","20","","","","","","31","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 14:00","2020","09","02","14:00","23.2","","19.3","","79","","0.0","","27","","17","","","","","","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 15:00","2020","09","02","15:00","24.6","","16.9","","62","","0.0","","27","","15","","","","","","30","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 16:00","2020","09","02","16:00","24.4","","12.7","","48","","0.0","","27","","18","","","","","","27","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 17:00","2020","09","02","17:00","23.5","","12.0","","49","","0.0","","28","","16","","","","","","26","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 18:00","2020","09","02","18:00","22.6","","13.7","","57","","0.0","","27","","12","","","","","","26","","","","NA"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2020-09-02 19:00","2020","09","02","19:00","21.2","","13.1","","60","","0.0","","24","","5","","","","","","","","","","NA"
